[2025-09-30 00:05:40] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-30 00:05:42] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-30 00:05:47] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:05:52] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:06:14] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:06:18] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:06:21] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:06:29] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:06:32] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-30 00:23:00] [info] ➡️ GET / 요청 from ::1
[2025-09-30 00:23:00] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-30 00:23:01] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-30 00:23:01] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-30 00:23:01] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-30 00:23:03] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-30 00:23:10] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-30 00:23:10] [info] ➡️ GET /api/admin/summary 요청 from ::1
[2025-09-30 00:52:34] [info] 🚀 서버 실행 중: http://localhost:3006
